Job Title,Company_name,Location_name,Job Type,Link
Senior Power BI Developer,BI-Technologies -,"New Cairo, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ZVTmwHDZNr7z-Senior-Power-BI-Developer-BI-Technologies-Cairo-Egypt
senior cost control,Abu Gemeaa -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/TII5UGv5H5lw-senior-cost-control-Abu-Gemeaa-Cairo-Egypt
Sr. Cost Control Engineer ( Mechanical-Electrical-Arc),Samman  Engineering & Consulting -,"Dokki, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/qAZWvOdIsyHl-Sr-Cost-Control-Engineer-Mechanical-Electrical-Arc-Samman-Engineering-Consulting-Giza-Egypt
International Grants -Senior Officer,Misr Elkheir Foundation -,"Mokattam, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/jgNWpcHx0sg8-International-Grants--Senior-Officer-Misr-Elkheir-Foundation-Cairo-Egypt
Research Assistant,ESLSCA University -,"6th of October, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/6C3xzExfexDj-Research-Assistant-ESLSCA-University-Giza-Egypt
Manager - Social Listening,Alshaya -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/7j0jycV7Rqga-Manager---Social-Listening-Alshaya-Cairo-Egypt
Tax Accountant,Confidential -,"New Cairo, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Qz51WhmI1rNN-Tax-Accountant-Cairo-Egypt
Tax Accountant,Paxton LLC -,"Heliopolis, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/xtdlNwlYdTRN-Tax-Accountant-Paxton-LLC-Cairo-Egypt
Real Estate Agent,Egypt Teda -,"Ataqah, Suez, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/GuS3ABpbxYFq-Real-Estate-Agent-Egypt-Teda-Suez-Egypt
Informatica Metadata Developer,BrickRed Technologies  -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/bOALML1Hkuj1-Informatica-Metadata-Developer-BrickRed-Technologies-Cairo-Egypt
OFSAA Consultant,AppsTec -,"Cairo, Egypt",Full TimeRemote,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/BUaYN70GENVD-OFSAA-Consultant-AppsTec-Cairo-Egypt
Full Stack Developer,Dwell Egypt -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ifHc97bpQY9F-Full-Stack-Developer-Dwell-Egypt-Cairo-Egypt
Senior ERP Developer,Milkys - The Milkman -,"Sheikh Zayed, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/eAOYdSfLEH0U-Senior-ERP-Developer-Milkys---The-Milkman-Giza-Egypt
Financial Planning And Analysis Head,Easy Group For Health and Beauty Care -,"Alexandria, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/d6By3sOFn2TE-Financial-Planning-And-Analysis-Head-Easy-Group-For-Health-and-Beauty-Care-Alexandria-Egypt
Inventory Analysis,Ghataty -,"6th of October, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/FBtUgkTDvNwM-Inventory-Analysis-Ghataty-Giza-Egypt
Cost control Manager,Etoile -,"Shubra, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Qq4rGkCIocD2-Cost-control-Manager-Etoile-Cairo-Egypt
Planning Specialist,Royal Cement -,"Sheraton, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/WgUcub3FvjBR-Planning-Specialist-Royal-Cement-Cairo-Egypt
Software Tester - Fully Remote Job,Osus Group  -,"Cairo, Egypt",Full TimeRemote,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/cDeX9K75cWeL-Software-Tester---Fully-Remote-Job-Osus-Group-Cairo-Egypt
"Software Developer (C#, HTML & Typescript)",BI-Technologies -,"New Cairo, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/e1jz5CI0IAlT-Software-Developer-C-HTML-Typescript-BI-Technologies-Cairo-Egypt
Hiring Oracle Fusion ERP Manager,MOBILY INFOTECH LTD INDIA -,"Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Z2cvWh1ib2LH-Hiring-Oracle-Fusion-ERP-Manager-MOBILY-INFOTECH-LTD-INDIA-Cairo-Egypt
Tax Accountant,El Banna Group Company -,"10th of Ramadan City, Sharqia, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/2zBzJSEFKHQL-Tax-Accountant-El-Banna-Group-Company-Sharqia-Egypt
Senior Power BI Developer,SURE International Technology -,"Nasr City, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/KWrBwaW6EQaf-Senior-Power-BI-Developer-SURE-International-Technology-Cairo-Egypt
Budgeting & Reporting Section Head,NILEWOOD  -,"Agouza, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/VD26EmL9REIN-Budgeting-Reporting-Section-Head-NILEWOOD-Giza-Egypt
Senior Investment & Portfolio Management,Roya Developments -,"Sheraton, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/3juCHv8TMDLW-Senior-Investment-Portfolio-Management-Roya-Developments-Cairo-Egypt
Tax Accountant,Memaar Alashraaf -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/SMsNk389MyYK-Tax-Accountant-Memaar-Alashraaf-Cairo-Egypt
Assets Management Specialist,Egypt Teda -,"Ataqah, Suez, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/FG8IjlIgQYli-Assets-Management-Specialist-Egypt-Teda-Suez-Egypt
Cost Accountant associate,Smart sevices  -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Iyqy9eLXUpwJ-Cost-Accountant-associate-Smart-sevices-Cairo-Egypt
CMA Accountant,MRI -,"Mansoura, Dakahlia, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/a6VZlaIiXJQy-CMA-Accountant-MRI-Dakahlia-Egypt
